id,name,description,uid,data,activity_classification_id,topic_id,created_at,updated_at,flags
109,"Sentence Writing: Lose, Loose",Write seven sentences using lose and loose.,T7c7UR2l3wkm2yZheLhtMA,"""rule_position""=>""---
- - '268'
  - '2'
- - '269'
  - '2'
- - '270'
  - '4'
""",2,46,2014-04-19 15:42:19.371154,2014-04-19 18:21:00.072697,{production}
72,"Have chilled, chilled fruit, will be chilled, etc...","Past participles help us talk about experiences we have done before, or continue to do. They also help us use some verbs as adjectives.",PHOYs8c_pb1sUdeXjuVJkw,"""rule_position""=>""---
- '179'
- '180'
- '181'
- '182'
- '183'
- '184'
- '248'
""",2,48,2013-10-23 03:26:08.723149,2014-04-15 17:28:47.387963,{archived}
112,"Sentence Writing: To, Too, Two","Write twelve sentences using to, too and two.",b0XbYfl-ECVFe3KGORmFUQ,"""rule_position""=>""---
- - '278'
  - '2'
- - '280'
  - '2'
- - '281'
  - '2'
- - '279'
  - '6'
""",2,46,2014-04-19 15:42:20.97776,2014-04-19 20:41:07.153538,{production}
26,"Halloween, Yankees, New York, etc...","We capitalize all holidays, product names, and geographic names.
",W2b91Iir0uq63_DWrdsdBw,"""rule_position""=>""---
- '92'
- '93'
- '94'
- '95'
""",2,23,2013-09-17 01:04:33.233233,2014-04-18 22:33:26.111283,{archived}
126,"Sentence Writing: Better & Best, Worse & Worst","Write eight sentences using the adjectives ""better,"" ""best,"" ""worse,"" and ""worst.""",Rtf8zIMGN2WndgL_n-HYyA,"""rule_position""=>""---
- - '328'
  - '2'
- - '330'
  - '2'
- - '329'
  - '4'
""",2,38,2014-04-19 15:42:33.802987,2014-08-06 18:21:30.055212,{production}
5,Passage Proofreading: Training for the Gold (Sport),Proofread a passage that has eight verbs that do not agree with their subjects.,Xhug-lO3toYhT0fbsibF3w,"""body""=>""--- \""Growing up, Michael Phelps {+worked-work|15} harder than anybody else. When he
  was 15 years old he joined the Olympic swim team. In order to be an Olympian at
  that age, you need to train hard and {+eat-eats|15} healthy food.\\r\\n\\r\\nWhen he
  trains now, Michael Phelps {+swims-swim|15} every day and {+lifts-lift|15} weights
  out of the pool. When he {+trains-train|15} with the rest of his team, they all
  {+run-runs|15} before practice to make the workout even harder.\\r\\n\\r\\nThey {+practice-practices|15}
  all year to get ready for the competition. After a long day of training, they would
  sometimes go out and {+order-orders|15} a pizza for each swimmer because they were
  so hungry.\\r\\n\""
"", ""instructions""=>""--- In this passage, there are eight verbs that do not agree with their subjects.<br><br>
  To make edits, click on a word and type your changes.
...
""",1,10,2013-09-16 17:15:32.176173,2014-09-08 22:57:45.803258,{production}
130,"Sentence Writing: Wrote, Spoke",Write nine sentences using the irregular past tense verbs wrote and spoke.,5PZONjaMfhY9ofF9RTEvBg,"""rule_position""=>""---
- - '340'
  - '2'
- - '342'
  - '2'
- - '341'
  - '5'
""",2,22,2014-04-19 15:42:36.661235,2014-04-19 18:56:16.45883,{production}
21,Passage Proofreading: The Crocodile and The Monkey (Mythology),Proofread a passage correcting ten mixed up adjectives and adverbs.,5d2ZUb4ySqJQm95VafxqgA,"""body""=>""--- \""There once was a crocodile living with his mother in a river. One day, the mother
  said, \\\""Darling, please go catch the monkey who lives in that tree and bring his
  heart to me for supper.\\\""\\r\\n\\r\\nThe crocodile {+quickly-(quick / quickly)|86} swam
  near the tree and shouted, \\\""Monkey, are you there? Let's go to the other side of
  the river where we will find trees full of {+ripe-(ripe / ripely)|85} fruit that
  I know you will enjoy.\\\""\\r\\n\\r\\n\\\""I don't know how to swim,\\\"" replied the monkey.\\r\\n\\r\\n\\\""Just
  hop on my back,\\\"" said the smiling crocodile. \\\""It will be my pleasure to carry
  you.\\\"" The monkey was very hungry, so he {+gladly-(gladly / glad)|86} jumped down
  on the crocodile's back.\\r\\n\\r\\nInstead of swimming across the river, however, the
  crocodile started swimming to his mother. The monkey was alarmed and shouted, \\\""Crocodile,
  what are you doing?\\\""\\r\\n\\r\\n\\\""I'm taking you to my mother,\\\"" said the crocodile,
  \\\""so that she can eat your heart for a {+delicious-(delicious / deliciously)|85}
  supper.\\\""\\r\\n\\r\\n\\\""Oh,\\\"" said the monkey, \\\""then I should have brought my heart
  with me.\\\""\\r\\n\\r\\nThe {+young-(young / youngly)|85} crocodile was surprised. \\\""You
  don't have your heart with you now?\\\""\\r\\n\\r\\nThe monkey {+wittily-(witty / wittily)|88}
  replied, \\\""No, I left my heart at home. If you want, we can go back there and I'll
  get it.\\\""\\r\\n\\r\\nThe foolish crocodile agreed and {+slowly-(slowly / slow)|86} swam
  back towards the monkey's home. When they arrived, the monkey leaped up and landed
  {+safely-(safely / safe)|90} in the tree.\\r\\n\\r\\n\\\""And now, crocodile,\\\"" the monkey
  {+happily-(happily / happy)|88} shouted, \\\""go away and leave me alone! You won't
  be able to trick me so {+easily-(easily / easy)|88} ever again.\\\""\""
"", ""instructions""=>""--- Choose the correct adjective or adverb from the parentheses.<br><br> To make changes,
  click on a word and delete the incorrect answer as well as the dash \""/\"" and the
  parentheses.
...
""",1,21,2013-09-17 00:36:37.250186,2014-04-19 19:00:30.924473,{production}
12,"Knives, feet, potatoes, etc...",Some words have irregular plural forms.,CuxwWe8u1dYaB-CzKpDM_w,"""rule_position""=>""---
- '50'
- '51'
- '52'
- '54'
- '55'
- '56'
- '57'
- '58'
- '59'
- '60'
- '61'
""",2,15,2013-09-16 19:44:16.857823,2014-04-18 22:24:43.263988,{archived}
77,Passage Proofreading: It's All Happening at the Zoo (Fiction),Proofread a passage and use commas to separate coordinate adjectives.,70u4gEpj8eg6T4re0PzHbw,"""body""=>""--- My friends and I went to the zoo last week. It was a {+bright, sunny-bright and
  sunny|187} day, and all of the animals were lively. There was a {+big, ferocious-big
  and ferocious|187} lion sitting on top of a large rock. Close by, some {+loud, lively-loud
  and lively|187} monkeys were romping about on a tire swing. A {+tired, old-tired
  and old|187} tortoise stretched his neck up into the air. There were also some {+tiny,
  timid-tiny and timid|187} lizards hiding behind rocks, logs, and any other place
  they could fit. They were all placed in terrariums next to some {+cute, fluffy-cute
  and fluffy|187} rodents. There was much to see on that {+fun, exciting-fun and exciting|187}
  day.
...
"", ""instructions""=>""--- In this story, seven things are described with two adjectives. However, instead
  of just using a comma, the word \""and\"" is placed between the adjectives. To make
  changes, click on \""and,\"" delete it, and replace it with a comma.
...
""",1,51,2013-10-27 22:17:52.194134,2014-04-19 20:16:38.343786,{production}
