id,instructions,body
5,"--- In this passage, there are eight verbs that do not agree with their subjects.<br><br>
  To make edits, click on a word and type your changes.
...
","--- ""Growing up, Michael Phelps {+worked-work|15} harder than anybody else. When he
  was 15 years old he joined the Olympic swim team. In order to be an Olympian at
  that age, you need to train hard and {+eat-eats|15} healthy food.\r\n\r\nWhen he
  trains now, Michael Phelps {+swims-swim|15} every day and {+lifts-lift|15} weights
  out of the pool. When he {+trains-train|15} with the rest of his team, they all
  {+run-runs|15} before practice to make the workout even harder.\r\n\r\nThey {+practice-practices|15}
  all year to get ready for the competition. After a long day of training, they would
  sometimes go out and {+order-orders|15} a pizza for each swimmer because they were
  so hungry.\r\n""
"
21,"--- Choose the correct adjective or adverb from the parentheses.<br><br> To make changes,
  click on a word and delete the incorrect answer as well as the dash ""/"" and the
  parentheses.
...
","--- ""There once was a crocodile living with his mother in a river. One day, the mother
  said, \""Darling, please go catch the monkey who lives in that tree and bring his
  heart to me for supper.\""\r\n\r\nThe crocodile {+quickly-(quick / quickly)|86} swam
  near the tree and shouted, \""Monkey, are you there? Let's go to the other side of
  the river where we will find trees full of {+ripe-(ripe / ripely)|85} fruit that
  I know you will enjoy.\""\r\n\r\n\""I don't know how to swim,\"" replied the monkey.\r\n\r\n\""Just
  hop on my back,\"" said the smiling crocodile. \""It will be my pleasure to carry
  you.\"" The monkey was very hungry, so he {+gladly-(gladly / glad)|86} jumped down
  on the crocodile's back.\r\n\r\nInstead of swimming across the river, however, the
  crocodile started swimming to his mother. The monkey was alarmed and shouted, \""Crocodile,
  what are you doing?\""\r\n\r\n\""I'm taking you to my mother,\"" said the crocodile,
  \""so that she can eat your heart for a {+delicious-(delicious / deliciously)|85}
  supper.\""\r\n\r\n\""Oh,\"" said the monkey, \""then I should have brought my heart
  with me.\""\r\n\r\nThe {+young-(young / youngly)|85} crocodile was surprised. \""You
  don't have your heart with you now?\""\r\n\r\nThe monkey {+wittily-(witty / wittily)|88}
  replied, \""No, I left my heart at home. If you want, we can go back there and I'll
  get it.\""\r\n\r\nThe foolish crocodile agreed and {+slowly-(slowly / slow)|86} swam
  back towards the monkey's home. When they arrived, the monkey leaped up and landed
  {+safely-(safely / safe)|90} in the tree.\r\n\r\n\""And now, crocodile,\"" the monkey
  {+happily-(happily / happy)|88} shouted, \""go away and leave me alone! You won't
  be able to trick me so {+easily-(easily / easy)|88} ever again.\""""
"
77,"--- In this story, seven things are described with two adjectives. However, instead
  of just using a comma, the word ""and"" is placed between the adjectives. To make
  changes, click on ""and,"" delete it, and replace it with a comma.
...
","--- My friends and I went to the zoo last week. It was a {+bright, sunny-bright and
  sunny|187} day, and all of the animals were lively. There was a {+big, ferocious-big
  and ferocious|187} lion sitting on top of a large rock. Close by, some {+loud, lively-loud
  and lively|187} monkeys were romping about on a tire swing. A {+tired, old-tired
  and old|187} tortoise stretched his neck up into the air. There were also some {+tiny,
  timid-tiny and timid|187} lizards hiding behind rocks, logs, and any other place
  they could fit. They were all placed in terrariums next to some {+cute, fluffy-cute
  and fluffy|187} rodents. There was much to see on that {+fun, exciting-fun and exciting|187}
  day.
...
"
79,"--- In this story, there are seven verbs that need to be in the passive voice. To
  edit the text, click on a word and make your changes.
...
","--- One of the biggest mysteries of life is how the world was {+created.-create.|189}
  Long ago, the Kuba of Central Africa believed the world was {+made-make|189} by
  one being. This god was {+named-name|189} Bumba. From deep within Bumba's body,
  the sun and the stars were {+pulled-pull|189} out into the night sky. As the sun
  heated up the earth, Bumba made animals, people, and his own children. One of his
  sons made many small white bugs. The bugs were {+transformed-transform|189} into
  the sands of the world. One of Bumba's sons was {+chased-chase|189} into the sky
  after causing many thunderstorms and other kinds of trouble. The creation of all
  plant life was {+credited-credit|189} to one of Bumba's sons as well. After these
  things were created, Bumba and his son's gave humans the responsibility to take
  care of the world.
...
"
11,"--- In this story, there are ten words that need to be rewritten in their correct
  irregular plural tense form.<br><br> To rewrite these words, click on them and type
  in the correct answer.
...
","--- It all started when two volcanoes outside of town erupted. The explosion was so
  powerful that it shook the pots, pans, and {+knives-knifes|50} in every kitchen
  while {+loaves-loafs|51} of bread fell onto the floor. The ground trembled and knocked
  everybody off their {+feet.-foots.|55} When they stood back up, they heard a great
  whooshing noise as air rushed into each volcano. In the nearby fields,{+deer,-deers,|60}
  {+sheep,-sheeps,|61} {+mice,-mouses,|58} and other small animals fled from the gust.
  The {+people-persons|59} saw the water from the ocean flowing through the town toward
  the eruption. All the {+men,-mans,|54} women, and {+children-childs|56} hid in their
  houses, clenching their {+teeth-tooths|57} in fear, as the water filled the inside
  of each volcano. That night, the water shot back out into the ocean, and has risen
  and fallen with the tides ever since.
...
"
53,"--- ""<br>Insert commas into the addresses in the story.<br><br>""
","--- ""\""Excuse me, could you help me send this letter?\""\r\n\r\nJanet turned around
  and saw a nice old lady smiling behind her. The old lady was holding out a piece
  of paper towards Janet. Janet took the paper and looked at it. The address was not
  filled in, but the letter was beautifully hand written. \r\n\r\n\""I would love to
  help you,\"" said Janet. She took a pen out of her purse and asked the lady, \""Where
  do you want to send the letter?\"" The old lady replied, {+\""52 Fenway Street, Fieldspring,
  Massachusetts 12345.-\""52 Fenway Street Fieldspring Massachusetts 12345.|163} My
  grandson lives there.\"" \r\n\r\nJanet started writing it out, but stopped halfway
  through.\r\n\""Are you sure your grandson's address is {+52 Fenway Street, Fieldspring,
  Massachusetts?\""-52 Fenway Street Fieldspring Massachusetts?\""|163}\r\n\r\n\""Did
  I say I Fieldspring? I'm sorry. Here is his real address: {+52 Fenway Street, Springfield,
  Massachusetts 12345.\""-52 Fenway Street Springfield Massachusetts 12345.\""|163}
  Janet finished writing the address and handed the letter back to the old lady.\r\n\r\n\""Thank
  you so much!\"" the old lady said.\r\n\r\n\""Happy to help!\"" replied Janet.""
"
61,"--- In this passage, the blanks need to be filled with appropriate words depending
  on which correlative conjunction is used. <br><br>To make changes, click on the
  blank and delete it. Then, fill in the space with one of the following words:<br><br>
  <b>or</b>, <b>neither</b>, <b>not only</b>, <b>both</b>
...
","--- ""Vera needed to work on her group project. She was excited to start, but she needed
  to find a partner first. Alex was also looking for a partner, so the two decided
  to work together. Vera wanted to do the project about either the Great Lakes, {+or-___|167}
  the Rocky Mountains. Alex likes the mountains more, so he suggested doing a report
  on them.\r\n\r\nAlex and Vera went to do some research for their project. Unfortunately,
  {+neither-___|169} the library nor the bookstore was open that day, so it seemed
  as though the two would have to wait to finish their work. Luckily for Alex, Vera
  is {+not only-___|168} a fast reader, but also a great writer. Alex was not worried
  about finishing the project on time.\r\n\r\nThe next day both Alex and Vera went
  to the library. They found three great books about the Rocky Mountains. By the end
  of the day {+both-___|170} Alex and Vera knew all about the Rocky Mountains, and
  completing their project was a breeze.""
"
87,"--- Proofread the passage below, making sure that all the commonly confused words
  are spelled correctly.
...
","--- ""Every Friday, Nasreddin would arrive at the market with a donkey to sell. He
  always sold the donkey very cheaply, at a far lower cost than any of the other donkeys
  that were for sale.\r\n\r\nFinally, one of the merchants confronted Nasreddin. \""I
  do not understand how it is possible, {+please-pleas|200} explain yourself!\"" he
  exclaimed. \""With threats of violence, I compel the farmers who are my tenants to
  give me food for my donkeys at no cost. My workers are {+poor-pour|202} slaves and
  I pay them no wages for taking care of the donkeys. I {+lose-loose|209} no profit
  anywhere. That means I am able to sell my donkeys at the lowest possible price,
  but even {+then-than|207} you sell your donkeys for even less. {+It's-Its|211} unreasonable!
  How can that be?\""\r\n\r\nNasreddin smiled at the merchant and explained, {+\""You're-\""Your|208}
  stealing the food and the labor. I, however, am just stealing the donkeys!\""""
"
35,"--- Rewrite the story by choosing the correct words from the parentheses.<br><br>
  Remember to delete the parentheses before clicking the submit button.
...
","--- ""On July 16th, 1969, hundreds of people traveled to the Kennedy Space Center in
  Florida to watch the Launch of the Apollo 11 rocket. Speakers announced, “You {+may-(can
  / may)|119} not approach the launch site without permission.” Nine and a half years
  ago, President John F. Kennedy promised we would land a man on the Moon in the next
  10 years. Today was the last chance America had to keep its promise. NASA knew they
  {+must-(must / should)|120} launch the rocket now, or they would run out of time.
  The crew asked Mission Control if they {+may-(may / can)|119} begin the countdown
  to launch. It was a perfect day for flying, so NASA knew there {+should-(should
  / must)|120} not be any problems.\r\n\r\nAfter a rocket leaves Earth, there is nothing
  else Mission Control {+can-(may / can)|119} do, so the launch is always tense. Once
  the rocket was close to the Moon, Mission Control told the crew they {+must-(must
  / should)|120} circle the moon once, because that was the only way to slow down.
  NASA suggested that they {+should-(should / must)|120} try to find some good rocks
  to bring back.\r\n\r\nTwo of the crew members, Neil Armstrong and Buzz Aldrin, launched
  a smaller ship from the Apollo 11 rocket, and landed on the Moon. When Neil Armstrong
  first stepped out of the ship he said, “That's one small step for a man, and one
  giant leap for mankind.”""
"
91,"--- In this passage, there are three actions that do not agree with the other actions
  in their respective lists. To edit the text, click on a word and type your changes.
...
","--- ""The ancient Hawaiian people were not as technologically advanced as other cultures
  of the time. However, by the time western civilization began communicating with
  the Hawaiian people, they had already developed a rich cultural heritage. They went
  about their lives by surviving off of the land, following strict social rules, and
  {+respecting-respected|196} their aumakuas, or \""family gods.\"" Unlike more powerful
  deities, such as Pele, the fiery goddess of volcanoes, aumakuas interacted specifically
  with individual families as spiritual guides. They were known for appearing in peoples'
  dreams, {+save-saving|213} people from harm, and bringing about good fortune to
  people in need.\r\n\r\nLike the spirit guides of other religions, aumakuas were
  said to be able to shape-shift. They could appear as a shark lurking on the ocean
  floor, or a hawk circling the skies. However, they were said to make themselves
  known easily to anyone who worshipped them. Out of respect for these spirit guides,
  the Hawaiian people payed tribute to them, asked for their guidance, and {+considered-consider|195}
  them to be family.""
"
