id,instructions,prompt,body,createdAt,updatedAt,ruleId,hint
1170,Rewrite the sentences to make the different action consistent with the other ones.  There may be more than one correct answer,The leaves fell and cover the ground.,"---
- The leaves {fall} and cover the ground.
- The leaves {fell and covered} the ground.
",4/19/2014 15:42:14,4/19/2014 15:42:14,249,
1171,Rewrite the sentences to make the different action consistent with the other ones.  There may be more than one correct answer,"The bus stopped, opens its doors, and let everybody on board.","---
- The bus stopped, {opened} its doors, and let everybody on board.
",4/19/2014 15:42:14,4/19/2014 15:42:14,250,
1172,Rewrite the sentences to make the different action consistent with the other ones.  There may be more than one correct answer,"The team stretched their legs, practice their drills, and then rehearsed their set plays.","---
- The team stretched their legs, {practiced} their drills, and then rehearsed their set plays.
",4/19/2014 15:42:14,4/19/2014 15:42:14,250,
1173,Rewrite the sentences to make the different action consistent with the other ones.  There may be more than one correct answer,"The twin babies were laughing, giggling, and crawled for hours.","---
- The twin babies were laughing, giggling, and {crawling} for hours.
",4/19/2014 15:42:14,4/19/2014 15:42:14,250,
1174,Rewrite the sentences to make the different action consistent with the other ones.  There may be more than one correct answer,"Richie enjoys reading novels, to draw comics, and writing articles.","---
- Richie enjoys reading novels, {drawing} comics, and writing articles.",4/19/2014 15:42:14,4/19/2014 15:42:14,250,
1175,Rewrite the sentences to make the different action consistent with the other ones.  There may be more than one correct answer,"I like to hike, to go swimming, and to surf when I have free time.","---
- I like to hike, {to swim}, and to surf when I have free time.
",4/19/2014 15:42:14,4/19/2014 15:42:14,250,
1176,Rewrite the sentences to make the different action consistent with the other ones.  There may be more than one correct answer,"We need to buy presents, bake a cake, and invited all our friends.","---
- We need to buy presents, bake a cake, and {invite} all our friends.",4/19/2014 15:42:14,4/19/2014 15:42:14,250,
1177,Rewrite the sentences to make the different action consistent with the other ones.  There may be more than one correct answer,"He spent all day washing the car, vacuuming the carpet, and dusted the countertops.","---
- He spent all day washing the car, vacuuming the carpet, and {dusting} the countertops.
",4/19/2014 15:42:14,4/19/2014 15:42:14,251,
1178,Rewrite the sentences to make the different action consistent with the other ones.  There may be more than one correct answer,"I do not have time to get dressed, showering, and shave all at once.","---
- I do not have time to get dressed, {shower}, and shave all at once.
",4/19/2014 15:42:14,4/19/2014 15:42:14,252,
1188,"In this sentence, there is a choice between two things. Rewrite the sentence with <b>either</b> between the first choice. <b>There is more than one correct way to write your answer.</b>",You can have a cat or a dog.,"---
- You can have {either} a cat or a dog.
- You can have {either} a cat, or a dog.
",4/19/2014 15:42:16,4/19/2014 15:42:16,256,
