id,title,created,modified,categoryId,workbookId,description,classification,uid,flags
332,Practice: Capitalize Appropriate Words in Titles,4/19/2014 15:42:35,4/20/2014 18:31:22,31,1,"<b>Correct:</b> My favorite book is called <i>A Return to the Beginnings of Time and Space.</i>
<b>Incorrect:</b> My favorite book is called <i>A return to the beginnings of time and space.</i>

When we write out titles, we always capitalize the first word in the title along with proper nouns and longer words. 

Smaller words like articles (the), conjunctions (but), and prepositions (to) remain in the lower case.",Capitalization,Capitalizing Words in Titles-alpha,"{archived,production}"
504,Practice: Commas and Quotation Marks in Dialogue,4/19/2014 15:43:27,4/20/2014 20:22:33,33,1,"<b>Correct:</b> A wise man one said, ""Doubt everything, find your own light.""
<b>Incorrect:</b> A wise man once said ""Doubt everything, find your own light.

We use a pair of quotation marks to show that someone is speaking. Whenever we use quotation marks, we always put a comma before the beginning of the quote (said,).",Punctuation,Use Commas and Quotation Marks in Dialogue-alpha,"{archived,production}"
515,Practice: Periods and Commas,4/21/2014 5:13:34,4/21/2014 5:13:34,29,1,,,,{}
269,Lose vs. Loose,4/19/2014 15:42:20,4/22/2014 22:19:22,20,1,"<b>Lose: lose</b> my keys, <b>lose</b> a game, <b>lose</b> one's balance.
<b>Loose:</b> the screws were <b>loose</b>, it broke <b>loose</b>.
<br>
We use <b>lose</b> when we can't find something, don't have something, or didn't win. 
<br>
We use <b>loose</b> when something isn't tight, or something is freed.


<br>



We use the word <b>of</b> to show how one thing is connected to another thing. 



<br>



We use the word <b>off</b> to say that something is no longer connected to something else.



<br>",Commonly Confused Words,"Lose, Loose-2","{archived,production}"
163,Use Commas in Addresses,10/13/2013 20:03:13,4/23/2014 14:03:13,32,1,"<b>Correct:</b> My address is 79 Brookfield Lane, Springfield, Massachusetts 01234.
<b>Incorrect:</b> My address is 79 brookfield lane Springfield, Massachusetts, 01234.

When we write out our addresses, we always put commas after the name of the street (Brookfield Lane,) and after the name of the city (Springfield). Remember to capitalize both the street and state names, because they are proper nouns.",Punctuation,,{archived}
377,"Practice: A, An, The",4/19/2014 15:42:44,4/20/2014 18:49:33,5,1,"<b>Indefinite Article:</b> There is lots of pizza. I ate <u>a</u> slice.
<b>Definite Article:</b> There was a loaded slice of bacon pizza. I ate <b>the</b> slice.
<br>
You use a definite article (<b>the</b>) to specify something (the slice of bacon pizza). You use an indefinite article (<b>a, an</b>) when you have not specified something (<b>a</b> slice).
<br>",Definite Article,A/n vs. The-alpha,"{archived,production}"
466,Practice: Commas after Introductory Prepositional Phrases,4/19/2014 15:43:06,4/20/2014 20:28:30,38,1,"<b>With Meanwhile:</b> I was cleaning the whole house. <b>Meanwhile,</b> my brother was still sleeping.
<b>Without Meanwhile:</b> I was cleaning the whole house. My brother was still sleeping.

We use <b>meanwhile</b> at the beginning of a sentence to say two events are happening at the same time. We place a comma after <b>meanwhile</b> (<b>Meanwhile,</b> my brother was still sleeping).",Introductions,"Meanwhile, Times-alpha","{archived,production}"
34,"Practice: This, That, These, & Those",9/15/2013 22:23:27,9/15/2013 22:23:27,5,1,,,,{archived}
22,But,9/15/2013 22:03:52,9/30/2013 19:23:58,4,1,"<b>Not Connected:</b> I like spaghetti. I don’t like hamburgers.
<b>Connected:</b> I like spaghetti, <b>but</b> I don’t like hamburgers.
<br>
<b>But</b> connects two <i>contrasting</i> sentences into one larger one. In the example, <b>but</b> is used to show that the subject (I) likes spaghetti, but not hamburgers.
<br>",Conjunction,,{archived}
121,Practice: Modal Auxiliaries,9/19/2013 2:47:34,9/19/2013 2:47:34,18,1,,,,{archived}
149,Practice: Vague Pronouns,9/20/2013 23:04:38,9/20/2013 23:04:38,26,1,,,,{archived}
151,Practice: Non-restrictive Clauses,9/20/2013 23:06:36,9/20/2013 23:06:36,27,1,,,,{archived}
31,Practice: A / An vs. The,9/15/2013 22:20:02,9/30/2013 19:28:36,5,1,,,,{archived}
165,Singular Possessive,10/13/2013 20:12:35,10/15/2013 1:25:00,34,1,"<b>Correct:</b> I think that is <b>Jane's</b> notebook.
<b>Incorrect:</b> That is <u>Janes</u> notebook.
<br>
Possessive nouns are used to show ownership of the noun written after it (<b>Jane's</b> <u>notebook</u>). 

Singular possessive nouns are usually made by adding an apostrophe and an ""s"" to the end of the word.",Possessive Tense,,{archived}
167,Either ... Or,10/13/2013 20:32:46,3/10/2014 1:17:31,35,1,"<b>Exactly Two Options:</b> You can have <b>either</b> soup </b>or</b> salad.
<b>Two Options, Maybe More:</b> You can have soup <u>or</u> salad.

Whenever <b>either</b> is placed before <b>or</b>, we are presented with <i>exactly</i> two options (soup <b>or</b> salad). If the two options share a verb, <b>either</b> is written after the verb (have <b>either</b>). If the two options have <i>different</i> verbs, <b>either</b> is written before the first verb (<b>either</b> have).",Conjunction,,{archived}
189,The Passive Voice,10/29/2013 2:29:02,10/29/2013 2:29:02,42,1,"<b>Active:</b> I ate the chocolate bar on the table.
<b>Passive:</b> The chocolate bar on the table <b>was eaten</b>.

Verbs in the passive voice are made the same way past participles are made (<b>eaten</b>). They follow helping verbs like “was” and “were.” 
",Voice,,{archived}
191,Verb Mood Shift,10/30/2013 22:50:20,10/30/2013 22:50:20,43,1,"<b>Correct:</b> If I <b>were</b> you, I wouldn't drive down this road at night.
<b>Incorrect:</b> If I <u>was</u> you, I wouldn't drive down this road at night.

When we wish for something, or wonder if something could happen, we use ""were"" instead of ""was"".",Verb Shift,,{archived}
192,Ellipsis,10/31/2013 0:27:32,10/31/2013 0:27:32,44,1,"<b>With Ellipsis:</b> ""I forgot what I went shopping for<b>...</b>""
<b>Without Ellipsis:</b> ""I forgot what I went shopping for.""

Ellipses are used in informal writing. Like commas, they are used to show a pause. However, the ellipsis is often used when someone is speaking, and can also be used to show that the person hasn't finished what he or she might have said.",Punctuation,,{archived}
49,Practice: Collective Nouns,9/15/2013 22:48:05,9/15/2013 22:48:05,9,1,,,,{archived}
105,Practice: Contractions,9/16/2013 0:19:50,9/16/2013 0:19:50,15,1,,,,{archived}
85,Adjectives,9/15/2013 23:34:53,9/30/2013 19:57:08,13,1,"<b>Adjective:</b> The park we visited was really <b>beautiful</b>.
<b>Adverb:</b> You performed <u>beautifully</u> yesterday.
<br>
Adjectives (<b>beautiful</b>) are used to describe nouns (park).
<br>",Adjective,,{archived}
114,Practice: Relative Pronouns & Adverbs,9/19/2013 2:25:44,9/19/2013 2:25:44,16,1,,,,{archived}
118,Practice: Progressive Tense,9/19/2013 2:39:11,9/19/2013 2:39:11,17,1,,,,{archived}
87,Adjectives to Adverbs: Consonant Ending,9/15/2013 23:40:14,9/30/2013 19:58:51,13,1,"<b>Adjective:</b> Careful, that knife is <u>sharp</u>.
<b>Adverb:</b> I <b>sharply</b> turned the car around.
<br>
If an adjective ends in a consonant (sharp), then we usually add ""ly"" onto the end of the adjective to make it an adverb (sharply).
<br>",Adverb with Consonant Ending,,{archived}
